size,ppp,glass,quality,layout_median_ms,frame_median_ms,frame_p95_ms
1280x720,1,1,None,0.128,1.591,1.675
1280x720,1,1,Some(Full),0.272,2.345,3.574
1280x720,1,1,Some(Balanced),0.282,2.199,3.504
1280x720,1,1,Some(Performance),0.292,2.302,3.633
1280x720,1,16,None,0.250,5.860,9.718
1280x720,1,16,Some(Full),0.437,6.695,6.958
1280x720,1,16,Some(Balanced),0.456,6.627,7.142
1280x720,1,16,Some(Performance),0.449,6.691,8.010
2560x1440,2,1,None,0.193,3.048,4.288
2560x1440,2,1,Some(Full),0.400,5.170,6.334
2560x1440,2,1,Some(Balanced),0.421,5.133,6.323
2560x1440,2,1,Some(Performance),0.317,3.660,4.920
2560x1440,2,16,None,0.329,10.455,15.820
2560x1440,2,16,Some(Full),0.463,10.506,15.187
2560x1440,2,16,Some(Balanced),0.347,8.966,10.670
2560x1440,2,16,Some(Performance),0.255,7.265,8.516
